title,category,dist,lat,lng,rating,reviewsCount,price
Sizzler House,Western restaurant,"PQGJ+V9 Ar Rawdah, Riyadh Saudi Arabia",24.7272323,46.7808978,3.8,1516,$$
Hardee's,Fast food restaurant,"QQ85+QP Al Quds, Riyadh Saudi Arabia",24.7669411,46.7593259,3.7,692,$$
Al Masaa Cafe,Coffee store,"PM7F+67 Al Wurud, Riyadh Saudi Arabia",24.7130689,46.6731418,3.7,3615,$$$
Japang (Delivery Only),Restaurant,"RP6Q+68 Qurtubah, Riyadh Saudi Arabia",24.8105038,46.7382565,2.5,196,
IV speciality cafe,Cafe,"MQMP+6V Ar Rawabi, Riyadh Saudi Arabia",24.6830665,46.7871747,4.3,1150,$$
Sunrise International School,School,"JM9G+9X Al Badi'ah, Riyadh Saudi Arabia",24.6184417,46.6773498,3.1,72,
Bright Future International School,School,"MMPH+XM Al Olaya, Riyadh Saudi Arabia",24.6875301,46.6793022,3,38,
ALGhad National School,School,"PM2W+V4 As Sulimaniyah, Riyadh Saudi Arabia",24.7022131,46.6952552,3.3,50,
حسين حسن العبيدي,School,"QPVV+M2 Ghirnatah, Riyadh Saudi Arabia",24.7940552,46.7423788,5,1,
Danube | الدانوب,Hypermarket,"RP6M+3P Qurtubah, Riyadh Saudi Arabia",24.810204,46.7342994,4.3,1859,
Bangladesh International School & College (Bangla Section),School,"HP88+3H Badr, Riyadh Saudi Arabia",24.565157,46.7163924,4.6,41,
The Coffee Address - عنوان القهوة,Cafe,QH3H+37 Ad Diriyah Saudi Arabia,24.7527403,46.5781518,4.6,33,$$
King Saud Educational Complex - primary section,Elementary school,,24.7177207,46.6296302,3.6,22,
محامص سفير البن للتجارة,Coffee roasters,"QPXR+59 Ghirnatah, Riyadh Saudi Arabia",24.7979693,46.7409133,4.6,26,
متوسطة بنين جديدة تم الإفتتاح,School,"RQP6+J7 Al Munsiyah, Riyadh Saudi Arabia",24.8365411,46.760657,5,1,
COV COFFEE كوف كوفي,Coffee roasters,"MQMG+QW Ar Rawabi, Riyadh Saudi Arabia",24.684423,46.7773087,4.4,728,
Starbucks,Cafe,"QMGJ+MX An Nafal, Riyadh Saudi Arabia",24.7767059,46.6824669,3.8,12,$$
"National parking.co Mawgif, Pound .",School,"RP96+PQ Imam Muhammad Ibn Saud Islamic University, Riyadh Saudi Arabia",24.8192716,46.7119417,5,1,
